length_ms,mean,mfcc_max,mfcc_mean,mfcc_std,sc_kur,sc_max,sc_mean,sc_min,sc_skew,sc_std,skew,stft_kur,stft_mean,stft_std,zcs,log_stft_min,log_kur
3737,0.5167332909240356,171.69092,-33.485947,134.65486,-1.1207685246246946,0.7664601164186622,5792.550744274666,997.8506370383302,0.2509401616754532,3328.0554572831006,0.2731533743406074,-1.2150249712860668,0.41525045,0.33553314,16995,-3.9188488190544897,2.2413542942972926
3904,0.492286251098048,205.0077,-29.502108,130.48563,-1.531204256017284,0.4769262857468279,5197.620555017599,1820.8784496883973,0.2195817978098662,4040.931569613733,0.2921572353640685,-1.384174293987925,0.4174879,0.35238042,13906,-2.929532693347812,2.9737007262453066
4671,0.5767080578915149,165.45653,-30.532463,126.57711,-1.130152744924187,0.47978855954045696,4830.743036852651,1140.3021973764749,0.436699155392461,3332.1312995313765,0.3026589989545012,-1.2429465224059983,0.37975752,0.35226968,18723,-4.396392053162705,1.585399400547426
3637,0.5097062532578815,190.03609,-36.059555,159.72516,-1.4977648572113873,0.49470453060231667,5376.446478268535,900.9418538130976,0.0988022840910602,4053.6630731097007,-0.0810143266840635,-1.4453181127037218,0.40727672,0.36055207,11617,-4.05257378601344,2.5680414476737563
4404,0.5351768142585108,161.134,-31.405996,122.125824,-1.1675439751413927,0.48648387707673135,5146.012474455235,874.608338405458,0.4960657181182721,3442.7241088816854,0.4148721043723152,-1.3667420680582354,0.4159741,0.35065478,15137,-4.677458730749274,2.0129156276996163
3570,0.5104342827478079,213.68192,-30.500889,132.58173,-1.1145268361357537,0.4999800084765312,4251.116911942932,663.3221401898595,0.5551977533598422,3833.1781833707423,0.0281857673162942,-1.0981794319078344,0.34966907,0.34525588,12143,-4.218739967232984,2.5475604354463885
3770,0.4868166130840935,228.32715,-30.177172,139.50746,-1.503746208882781,0.6769506973487099,5718.247598119217,523.9624718772762,0.0922113205424383,4008.8039781710777,0.011188322909745,-1.4258984302453852,0.47631174,0.34683928,14239,-3.9539342707144574,2.65841326729185
3437,0.4750086686962227,220.38373,-36.048576,167.65213,-1.6015143893609538,0.4768165456328037,6085.206268357976,561.127370438504,-0.1127366088910634,3737.829447122608,0.2113525112871773,-1.307958278148405,0.4873062,0.32824752,11147,-5.193486617181788,2.4239108533477234
3770,0.4519070374763914,207.63217,-33.899364,159.19762,-1.609621759545796,0.5062628348627899,6349.352393876921,831.2728508765321,-0.0726713740780695,4014.630497936632,-0.9644333400487632,-1.2629600264070822,0.5350295,0.32825288,15293,-4.676442241797533,1.6600458530333362
4371,0.7199068148767012,167.96753,-29.462296,116.833786,-1.2884436090429503,0.47681416682026645,5486.705834640869,991.3644024981206,0.5426999649598326,3602.202956669995,0.4750984095984663,-1.5447158205960356,0.5060431,0.36764336,13024,-3.7317093050161567,2.431777343061621
